zone,mant,pop,er,empe1,empe2,str,st,stu,stur,shop,park,hospb,vp,vm,emp,cbd
246,2,8281,2414,1228,1228,966,1371,0,991,1453,8811,0,0.397,0.018,2673.13,0
247,2,17455,4782,3989,4309,2012,1109,0,2090,389,35377,0,0.449,0.037,9223.62,0
248,2,9583,2770,192,192,1202,557,0,1147,498,19764,0,0.494,0.038,156.2,0
249,2,17601,5350,1565,1737,2000,1489,571,2107,322,71869,0,0.509,0.038,2308.33,0
250,2,14421,4156,1818,1818,1634,2542,385,1726,192,46863,0,0.497,0.023,2750.02,0
251,2,13652,4162,2066,2415,1503,1474,3805,1634,340,54426,0,0.42,0.038,2727.08,0
252,2,9432,2657,2714,2867,1191,262,0,1129,328,7008,0,0.558,0.038,5281.33,0
253,2,27734,8507,3753,4041,2993,4315,472,3320,850,34314,280,0.442,0.014,7566.82,0
254,2,12277,3654,9292,10095,1417,743,1199,1470,328,43476,213,0.469,0.026,14131.47,0
255,2,6124,1957,381,601,567,230,0,733,2974,0,0,0.365,0.038,511.31,0
256,2,10061,3049,2341,2524,1192,472,0,1204,360,0,0,0.372,0.093,4507.43,0
257,2,12159,3387,5342,6014,1436,1105,1205,1456,563,8122,0,0.358,0.048,6656.96,0
258,2,5628,1670,1142,1352,633,1605,0,674,31,0,0,0.283,0.026,1635.25,0
259,2,7653,2238,1386,1440,875,902,240,916,136,6935,0,0.349,0.108,1915.92,0
260,2,7393,2247,148,148,929,650,0,885,1105,19780,0,0.354,0.035,213.72,0
261,2,6408,1942,3445,3629,711,1122,11991,767,255,7771,0,0.351,0.049,4524.35,0
262,2,14361,4199,287,287,1958,366,0,1719,374,0,0,0.359,0.044,472.35,0
263,3,7721,2436,4316,4660,780,391,3,881,1074,55643,0,0.475,0.085,6213.95,0
264,3,6606,2052,8804,9454,579,1119,11218,754,1210,7157,0,0.427,0.041,11691.31,0
265,3,16858,5124,5712,6707,1473,1868,2978,1924,1753,17329,10,0.375,0.041,10038.91,0
266,3,6784,2068,5211,6080,580,1229,0,774,406,4033,0,0.582,0.045,7688.56,0
267,3,24440,7614,2787,2873,2428,1100,0,2790,2320,9049,205,0.34,0.029,4586.75,0
268,3,12743,3715,2409,2637,1502,3796,7766,1455,154,30217,0,0.458,0.023,4648.44,0
269,3,14536,4250,3025,3214,1745,1960,0,1659,322,11471,161,0.445,0.036,6179.66,0
270,3,18429,5568,2608,2909,2093,2338,2391,2104,2984,34045,0,0.449,0.009,5226.46,0
271,3,17655,5223,9489,10397,1653,2892,2413,2015,2088,5972,0,0.417,0.011,17215.19,0
272,3,5026,1381,33864,35650,418,2017,5393,574,4563,7290,396,0.484,0.041,48009.53,0
273,3,6398,1715,2688,2759,1252,3196,412,730,0,0,720,0.332,0.026,2852.49,0
274,3,95,25,2656,2656,6,0,0,11,0,362092,615,0.014,0.041,2756.77,0
275,3,63,19,14730,14900,8,430,1126,7,2770,55216,0,0.225,0.041,15734,0
276,3,6929,2139,5262,5454,633,136,0,791,516,0,0,0.495,0.041,5790.08,0
277,3,19760,6024,967,1359,2266,1055,801,2255,419,11692,0,0.499,0.035,2767.07,0
278,3,15010,4765,1453,1569,1778,1692,0,1713,274,2337,41,0.53,0.038,1579.87,0
279,3,26486,7883,2368,2491,3116,3912,938,3023,1582,19667,0,0.408,0.045,5642.82,0
280,3,19408,5626,1098,1530,2152,2913,0,2215,334,34881,0,0.48,0.077,3319.13,0
281,3,31297,9484,5263,6271,3815,4793,2989,3572,856,5350,0,0.533,0.015,8681.9,0
282,3,14951,4643,11548,12556,1475,2637,1857,1707,2260,29573,267,0.401,0.041,16106.72,0
283,3,9,3,637,637,0,0,33,1,0,824132,0,0.014,0.041,894.81,0
284,3,5116,1433,30074,33751,391,1107,2725,584,2124,177780,0,0.49,0.026,44208.52,0
285,3,6176,1844,7178,7559,583,313,2975,705,417,52073,622,0.494,0.041,9296.72,0
286,3,10107,3072,6523,7042,961,0,1930,1154,488,21987,0,0.479,0.016,9162.12,0
287,3,5661,1627,2628,2675,604,1680,1170,646,390,107900,0,0.316,0.041,3326.43,0
288,3,57,21,185,185,3,0,0,7,0,0,0,0.014,0.041,93.63,0
289,4,18344,5492,1704,2331,2361,2521,4288,1471,770,10067,0,0.438,0.025,4104.11,0
290,4,14829,4507,1059,1893,1888,1570,47,1189,412,24382,0,0.395,0.03,4046.45,0
291,4,3787,1015,447,589,459,1819,0,304,52,4086,0,0.436,0.037,1008.65,0
292,4,7237,1951,3153,3605,885,2171,0,580,1026,4386,0,0.394,0.023,4849.89,0
293,4,6378,1782,3263,3885,768,2976,63,512,465,0,233,0.515,0.014,5904.1,0
294,4,0,0,659,659,0,0,0,0,0,0,0,0.014,0.037,825.81,0
295,4,19966,5721,1981,2278,2557,1885,0,1602,530,94325,0,0.501,0.032,4032.29,0
296,4,23895,6355,4630,4772,3770,3295,7718,1917,172,111115,0,0.358,0.013,4440.66,0
297,4,1872,462,1188,1251,370,1454,112,150,217,559378,0,0.336,0.022,1418.14,0
298,4,13464,4055,1239,1977,2376,1925,0,1080,172,156489,0,0.321,0.054,3771.63,0
299,4,17007,4887,941,1341,2304,3113,0,1364,600,46916,0,0.427,0.019,2697.88,0
300,4,27058,8326,966,1442,3641,2836,0,2170,1387,70834,0,0.35,0.05,3911.02,0
301,4,16690,5088,966,1051,2079,658,0,1339,1122,49590,0,0.293,0.051,3440.35,0
